Milestone,Workstream,Title,Description,Priority,Estimate,Labels,Status
FinHive M1.1 · Ask FinHive,docs,Record ARB D-1a and amend OQ-01 for the Postgres pivot,"Three governance changes before code. Two amend APPROVED decisions.

- D-1a: MVP1.1 uses SQLAlchemy 2.0 against Postgres, sync, NOT raw SQL + asyncpg. D-1 chose raw SQL for the MVP2 web backend; MVP1.1 is the existing PySide6 desktop app, where adopting asyncpg would make every use case async and invalidate 161 tests for no user-visible gain. D-1's four mitigations still apply and must be restated: parameterised-only, CI grep gate, query-shape contract tests, N+1 count assertions.
- OQ-01 amended: data at rest is now local Docker Postgres, so the cross-border concern narrows to Groq INFERENCE only. Tokenisation stays mandatory — for a different reason than the ARB currently records.
- Master key location recorded as INTERIM: read from an env var in ops/.env.local, behind keys.py. Written trigger to move it to the OS keychain: a second user, any hosted deployment, or the database file leaving this machine.

TRAP: the env-var key sits beside the ciphertext. It defends against a stolen backup or a synced folder, NOT against anyone with read access to the home directory. Say that in the ARB rather than implying encryption at rest is complete.

Acceptance: D-1a and the OQ-01 amendment are marked APPROVED or REJECTED, and no governing doc still claims MVP1.1 stores plaintext.",2,2,"product:finhive,governance,mvp1.1",Backlog
FinHive M1.1 · Ask FinHive,ops,Stand up Postgres in Docker with the pgvector image,"Replace the Supabase CLI assumption with a local container.

docker-compose.yml: pgvector/pgvector:pg16, named volume, healthcheck, port mapped. The extension is AVAILABLE but NOT enabled — CREATE EXTENSION vector becomes a one-line migration if retrieval ever needs it. Choosing the image now makes that free; choosing stock postgres makes it a dump/restore.

DATABASE_URL in ops/.env.local, gitignored.

TRAP: run_local_mac.sh:146-159 and run_local_windows.bat currently expect the Supabase CLI on port 54322 and will silently start or target the WRONG database. Update both, and make the failure mode loud if the container is not running.

R8 PROMISES A ONE-COMMAND LAUNCH (""a simple .bat ... prepares the virtual env, installs requirements and starts up the app""). Docker plus a mandatory FINHIVE_MASTER_KEY breaks that promise unless the launcher owns it. Both scripts must bring the container up, wait for the healthcheck, source the key, apply migrations, and fail loudly with the fix when Docker is not running or the key is absent.

Acceptance: `docker compose up -d` gives a reachable Postgres 16 with the vector extension available; run_local_mac.sh and run_local_windows.bat each start the app from a cold machine in ONE command with no Supabase CLI installed; and each prints an actionable error if Docker is down.",2,2,"product:finhive,mvp1.1,infra",Backlog
FinHive M1.1 · Ask FinHive,data,Port the SQLAlchemy models to the Postgres 0002 schema,"migrations/0002_port_mvp1_tables.sql already defines the Postgres shape and it matches loan_manager/infrastructure/database/models.py column for column, with two differences that must be absorbed:
- id is BIGINT GENERATED ALWAYS AS IDENTITY, not sqlite INTEGER autoincrement
- org_id UUID NOT NULL REFERENCES orgs(id), and UNIQUE is (org_id, reference_id) rather than reference_id alone

Every repository query becomes org-scoped. This is not optional scaffolding for a single user — it is what makes the MVP2 port and RLS possible later, and retrofitting org_id after data exists is far worse.

Keep the Loan domain entity unchanged; map at the repository boundary (CLAUDE.md: repository methods return domain entities, never ORM models).

TRAP: TIMESTAMPTZ vs SQLite's naive DATETIME. Use timezone-aware datetimes throughout and never datetime.utcnow() (deprecated, and it returns naive).

Acceptance: the model layer round-trips a Loan against a real Postgres with org_id populated, and the domain entity is byte-identical to the SQLite path.",2,3,"product:finhive,mvp1.1,migration",Backlog
FinHive M1.1 · Ask FinHive,data,Apply migrations 0001-0005 with the existing runner and drop Alembic,"finhive/db/migrations.py is a forward-only runner that already applies the numbered SQL files and records what ran. It takes a duck-typed connection rather than importing asyncpg. It is ASYNC: the Protocol declares `async def execute` / `async def fetch`, `apply_pending` is `async def`, and the inserts use asyncpg `$1,$2,$3` placeholders a sync psycopg connection will not bind. So this issue MUST bridge it from the sync desktop startup path — a short asyncio.run() around apply_pending with an asyncpg connection used for migrations only. The app itself stays sync SQLAlchemy (D-1a).

Alembic is declared in requirements.txt but was never wired (no alembic.ini, no env.py, no versions/). Do not wire it now. Two migration mechanisms in one repo is two ways to get schema state wrong — Ponytail rung 2, reuse what exists and delete the unused dependency.

Scope: drive 0001-0005 from the desktop app's startup path (or a make target), verify the recorded state table, and remove alembic from requirements.txt.

Depends on: Docker Postgres, model port.
BLOCKS: anything that adds a column.

Acceptance: a fresh container reaches schema 0005 in one command, re-running is a no-op, and grep shows no alembic import anywhere.",2,2,"product:finhive,mvp1.1,migration",Backlog
FinHive M1.1 · Ask FinHive,security,Load the master key from the environment behind keys.py,"finhive/db/keys.py already derives per-field data keys from a master key via HKDF and supports rotation by key_version. It needs a source for the master key.

M1.1 reads FINHIVE_MASTER_KEY from ops/.env.local. This is an INTERIM choice, recorded in the ARB: the key sits beside the ciphertext, so it protects a stolen backup or a synced folder and nothing else.

Build it so the swap is one file: a KeySource with a single implementation today. Do NOT build a provider registry or a factory for one product — the written trigger to add a keychain implementation is a second user, a hosted deployment, or the database file leaving this machine.

TRAP: a missing or malformed key must fail loudly at startup, before any write. Silently generating one would encrypt data with a key that vanishes on the next launch, which is indistinguishable from data loss.

Acceptance: the app refuses to start with a missing, short or non-hex master key, and key_version is written on every encrypted row.",2,2,"product:finhive,mvp1.1,encryption",Backlog
FinHive M1.1 · Ask FinHive,security,Encrypt and decrypt NPI at the repository boundary,"Migration 0003 encrypts NINE columns as `_ct BYTEA` plus key_version, across loans, loan_history AND report_records: borrower_name, borrower_group, depositor_name, depositor_group, amount, and the DERIVED financial values interest_amount, commission_amount, tds_amount, chq_amount. finhive/db/encryption.py already provides encrypt_field/decrypt_field and encrypt_amount/decrypt_amount (Decimal, ROUND_HALF_UP, two places) and imports nothing Postgres-specific.

Apply it at the repository boundary ONLY. The domain entity and every use case keep working in plaintext; ciphertext exists between the repository and the database and nowhere else. THREE repositories touch encrypted tables and all three must be done together: sqlalchemy_loan_repo, sqlalchemy_history_repo (borrower_name, amount) and sqlalchemy_report_repo (borrower_name, amount, interest_amount, commission_amount, tds_amount, chq_amount). 0003 makes those columns NOT NULL, so doing only the loan repo breaks every report and archive write — or silently stores NPI in clear.

TRAP 1: encrypt_amount canonicalises to two decimal places before encrypting, so equal amounts always produce the same plaintext. MVP1 amounts are whole rupees as int — convert deliberately, and do not reintroduce float anywhere on this path.

TRAP 2: a random IV per call means two encryptions of the same value differ. Never compare, filter, GROUP BY or ORDER BY a `_ct` column. Exact-match filtering is the blind index; ordering and totals are app-layer.

Acceptance: a loan round-trips through the repository unchanged, and a direct SQL SELECT over loans, loan_history and report_records shows no borrower or depositor name, no group, and no amount — principal OR derived — in clear.",1,5,"product:finhive,mvp1.1,encryption",Backlog
FinHive M1.1 · Ask FinHive,backend,Seed one org and owner without Supabase,"finhive/db/seed_service_account.py (KCH-94, merged) creates the org and an owner row, but reads SUPABASE_SERVICE_ROLE_KEY and takes users.id from a Supabase Auth UID. M1.1 runs plain Postgres in Docker — there is no Supabase Auth.

Rework it to generate the owner UUID locally and drop every Supabase dependency. Keep what matters: a real org row, role='owner', and per-org scoping. The seeder's own docstring warns against a single-tenant shortcut that bypasses org scoping — that warning still stands.

The desktop app reads its org_id from config. No login screen: a credential check inside a process the user fully controls protects nobody, and M1a's JWT path will do this properly for the web app.

Keep the actor column real ('user' | 'agent') — it is what makes provenance true today and what the MVP2 port populates with history.

Acceptance: a fresh database gets exactly one org and one owner, re-running is idempotent, and grep finds no SUPABASE_ reference on this path.",2,2,"product:finhive,mvp1.1,auth",Backlog
FinHive M1.1 · Ask FinHive,security,Wire the HMAC blind index into exact-match filters,"Migration 0004 adds blind-index columns for the encrypted IDENTITY columns. finhive/db/blind_index.py computes them. Without wiring, every borrower lookup decrypts the whole table.

Wire it into the repository's filter path so equality on borrower_name, borrower_group, depositor_name and depositor_group uses the index. The existing filters use ilike('%x%') (sqlalchemy_loan_repo.py:78-90) — substring matching is impossible over ciphertext, so exact match via the index is the replacement, and fuzzy matching moves to EntityResolver in the application layer.

TRAP, carried from ADR-2.4 and now enforced by KCH-99: a blind index must NEVER be added to an amount. Loan amounts cluster on round numbers, so a deterministic index over them is reversible by frequency analysis without the key. Identity columns only.

Acceptance: filtering by an exact borrower_group returns the right rows without decrypting non-matching ones, and no blind index exists on any amount column.",2,3,"product:finhive,mvp1.1,encryption",Backlog
FinHive M1.1 · Ask FinHive,testing,Split the suite into SQLite unit and Postgres integration,"161 tests currently run against sqlite:///:memory:. Encryption, the blind index, migrations and org scoping can only be proven against real Postgres.

- Domain and application tests keep in-memory SQLite and millisecond runtime.
- Repository, migration and encryption tests hit Postgres, skipped when TEST_DATABASE_URL is unset. This mirrors the existing tests/integration/ pattern, which already skips cleanly.
- conftest provides both fixtures; a marker selects the lane.

TRAP: the mvp1-regression check runs the whole tests/ directory as a required check. Postgres tests MUST skip, not fail, on a machine with no container running, or every contributor and every CI run goes red.

Acceptance: the full suite is green with no Docker running (integration skipped) and green again with Postgres up (integration executed).",2,3,"product:finhive,mvp1.1,testing",Backlog
FinHive M1.1 · Ask FinHive,data,Seed a development fixture into Postgres,"The tab ships on test data before the real loans.db migration, so the seeded fixture is the development database for several weeks — it has to be realistic, not three rows.

Seed through the ENCRYPTING repository path, never with raw SQL INSERTs. Seeding around the encryption layer would produce a database the app cannot read and hide exactly the bugs this fixture exists to surface.

Content: the 15 existing sample rows plus an undated loan whose giving_date is in the past, a future-dated loan, 'iyer chem' alongside depositor 'Meera Iyer', and bg10 next to bg1 so substring over-match is catchable. One org, the seeded owner.

This same fixture is the base the eval harness extends later.

Acceptance: one command gives a populated encrypted database the desktop app opens and reads correctly, and a direct SELECT shows no plaintext NPI.",2,2,"product:finhive,mvp1.1,testing",Backlog
