Milestone,Workstream,Title,Description,Priority,Estimate,Labels,Status
FinHive M0 · Foundation & Agent Toolchain,ops,Scaffold monorepo structure,"Create the repository layout described in ARD v2.0.0 Appendix A: api/ for Vercel serverless entrypoints, finhive/ for the Python package, web/ for the React SPA, dbt/, migrations/, evals/, tests/. Add pyproject.toml, package.json, and .gitignore. Acceptance: both python -m pytest and npm run build succeed on an empty scaffold.",1,3,"product:finhive,foundation,setup",Backlog
FinHive M0 · Foundation & Agent Toolchain,ops,Build the orchestrator build loop,"Implement ops/orchestrator.sh: walk queue.tsv in dependency order, branch feature/fin-N from the top of the stack, run the implementing agent, invoke the CodeRabbit CLI gate pre-push, return blocking findings to the agent for at most CR_MAX_ROUNDS (2) rounds, then mediate — fix, dismiss with rationale, or escalate to a new Linear issue carrying every attempted fix and why it failed. Open a stacked PR. Nothing merges without a human. Carry the AssetAuditor hard-won rules: take ops/.worktree.lock around every checkout, re-exec from TMPDIR because the script rewrites its own worktree, and pick the stack tip by commits-ahead-of-development rather than commit date. Acceptance: a single queued issue runs end to end and opens a PR with the gate evidence attached.",1,13,"product:finhive,agentic,ci,ops",Backlog
FinHive M0 · Foundation & Agent Toolchain,ops,Build run_builder.sh guard wrapper,"Implement ops/run_builder.sh as the entry point that decides whether a build pass is warranted: exit quietly if another builder is running, if an issue is in flight (worktree lock held), or if the queue is exhausted; otherwise continue the stack from the deepest unmerged feature branch. Support --status for a read-only view of queue, locks and recent log. Reclaim a builder lock only when it is old enough that the process behind it cannot plausibly be alive. Acceptance: concurrent invocations do not both start, and --status touches no lock.",1,5,"product:finhive,agentic,ops",Backlog
FinHive M0 · Foundation & Agent Toolchain,ops,Build the CodeRabbit PR gate publisher,"Implement ops/pr_gate.sh. The CLI gate runs pre-push, so a PR's fix commits are already in its first commit set and the findings sit in gitignored logs — from GitHub the result is an unverifiable claim with no check behind it. Republish per PR every finding by round, the commit that answered it, and the final re-review, then set a coderabbit/cli-gate commit status. Status is success only when the final round returned zero blocking findings. Make it a required check on development. It must need no Claude — bash, gh and the logs only — so it still works when spend is capped. Acceptance: an unreviewed or unresolved branch cannot merge.",1,8,"product:finhive,agentic,ci,coderabbit",Backlog
FinHive M0 · Foundation & Agent Toolchain,ops,Gitignore ops lock directories and local state,"git clean -fd removes untracked DIRECTORIES, and the orchestrator runs it two lines after taking ops/.worktree.lock — an unignored lock deletes itself and mutual exclusion silently stops working. Add ops/.builder.lock/, ops/.worktree.lock/, ops/logs/, ops/.env.local, ops/queue.tsv, ops/.completed_issues and ops/.review_debt.tsv to .gitignore before the first orchestrator run. Acceptance: git status is clean while a lock is held.",1,1,"product:finhive,ops,ci",Backlog
FinHive M0 · Foundation & Agent Toolchain,ops,Write the developer agent operating contract,"Document the agentic development loop from ARD section 18: branch from development as feature/xx-N, implement, invoke CodeRabbit CLI, fix blocking findings for a maximum of two cycles, then escalate by filing a Linear issue containing the finding, each attempted fix, why it failed, and a suggested direction. Acceptance: the contract is merged and referenced from CLAUDE.md.",2,3,"product:finhive,agentic,docs,process",Backlog
FinHive M0 · Foundation & Agent Toolchain,ops,Land MVP1 source on main and reconcile model names,"The Claude Design sync read the repository at main and found only .gitignore and LICENSE. MVP1 source lives on development. Consequently every Pydantic model name in ARD v2.1.0 section 2 is a proposal, not a reconciled name, and the v2.0.0 claim that main is always deployable is true only degenerately. Merge MVP1 to main, then reconcile all 38 binding model names against the real finhive package. Acceptance: main contains the source and the ARD binding table cites real model names.",1,3,"product:finhive,repo-hygiene,docs,blocked",Backlog
FinHive M0 · Foundation & Agent Toolchain,ci-cd,Configure GitHub Actions base workflow,"Set up .github/workflows/ci.yml with the fast gate tier: ruff, mypy --strict on domain/ and calc/, prettier, eslint, and gitleaks secret scanning. Gates must run in under two minutes and block merge on failure. Order gates cheapest-first so a lint error never burns Groq credits. Acceptance: a PR with a deliberate lint error is blocked in under 30 seconds.",1,3,"product:finhive,ci,foundation",Backlog
FinHive M0 · Foundation & Agent Toolchain,ci-cd,Integrate CodeRabbit CLI into PR workflow,"Wire CodeRabbit into the PR pipeline. Configure .coderabbit.yaml with path filters, review instructions referencing the FinHive coding conventions, and a clear blocking vs advisory severity split. The CLI must be invokable locally as coderabbit review --plain so the developer agent can consume findings programmatically. Acceptance: opening a PR triggers a CodeRabbit review and blocking findings prevent merge.",1,3,"product:finhive,ci,coderabbit,agentic",Backlog
FinHive M0 · Foundation & Agent Toolchain,ci-cd,Add SQL injection CI grep gate,"Add a CI step that scans for f-strings, percent formatting, and .format() inside SQL string constants and fails the build on any match. This is the primary compensating control for choosing raw SQL over an ORM. Acceptance: a PR introducing an f-string in a SQL constant is blocked.",1,2,"product:finhive,security,ci,database",Backlog
FinHive M0 · Foundation & Agent Toolchain,ci-cd,Implement import-linter architecture boundary contracts,"Add import-linter contracts to pyproject.toml enforcing the service boundaries from ARD section 5: calc-service must be pure (no asyncpg, httpx, or agent imports), agent-service must never import asyncpg or finhive.db.raw directly, and domain must not import infrastructure or presentation. Acceptance: CI fails when a boundary-violating import is introduced.",1,3,"product:finhive,ci,architecture,foundation",Backlog
